indicator,sheet,"Chart SF1.1.A. Average size of households by household type, 2024a","Data for Chart SF1.1.A. Average size of households by household type, 2024a",Unnamed: 13,Unnamed: 14,Unnamed: 15,"Table SF1.1.A. Types of household, 2021a",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 10,Unnamed: 12,"Table SF1.1.B. Households by number of children, 2024a",Unnamed: 5,"Chart SF1.2.A. Living arrangements of children, 2023a",Unnamed: 11,Unnamed: 16,Unnamed: 17,"Chart SF1.2.B. Trends in the living arrangements of children, 2005 to 2023","Chart SF1.2.C. Trends in children living with cohabiting parents, 2007 and 2023a",Distribution of children by the presence and marital status of parents,Unnamed: 1,Unnamed: 9,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 0,Table SF1.3.A. Living arrangements of children by age,Table SF1.3.B. Living arrangements of children by relative income poverty status,Table SF1.3.C: Living arrangements of children by mother's level of educational attainment,"Table SF1.3.D: Living arrangements of young adolescents, 2013-14","Chart SF1.4.A. Child and young adult population, 2023","Data for Chart SF1.4.A. Child and young adult population, 2023","Chart SF1.4.B. Age distribution of children and young adults, 2023","Data for Chart SF1.4.B. Age distribution of children and young adults, 2023","Chart SF1.4.C. Trends in the child population, selected OECD countries","Data for Chart SF1.4.C. Trends in child population, selected OECD countries","Chart SF1.4.D. Youth dependency ratio, 1990 and 2023","Data for Chart SF1.4.A. Youth dependency ratio, 1990 and 2023","Chart SF1.4.E. Estimated (1960-2023) and projected (2024-2060) youth dependency ratios, selected OECD countries","Data for Chart SF1.4.E. Estimated (1960-2023) and projected (2024-2060) youth dependency ratios, selected OECD countries",Child and youth population,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Age distribution of children and young people,Unnamed: 36,Unnamed: 37,Youth dependency ratio,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,"Chart SF1.5.A. Children in overcrowded households, 2017","Chart SF1.5.B. Children in households that lack basic facilities, 2017","Chart SF1.5.C. Children living in areas with environmental problems, 2017","Table SF1.5.A. Children in overcrowded households, 2017","Table SF1.5.B. Children in households that lack basic facilities, 2017","Table SF1.5.C. Children living in areas with environmental problems, 2017"
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,933.967,929.3075,923.563,,-,0-14 years old,1346.8165,1134.0115,1037.081,970.6115,963.2515,939.6735,,1239.095,,972.015,917.3395,910.7425,,,,,951.531,904.051,897.893,892.8865,889.756,888.0145,888.3415,890.194,893.215,895.822,,,,,,,,,,,,,,,,,896.318,895.1015,892.3035,886.3335,876.6405,865.9555,856.3365,847.7,836.5375,100,99.39271459714465,98.89685087426643,98.28552151358956,97.623217000373,96.9211646385686,96.20905559218176,95.55372158521018,95.02093014222493,94.68778251169155,94.50245218152901,94.53725150278261,94.7343944465817,95.05588909339255,95.33332588393735,95.38611017550245,95.25665031524248,94.9588873156474,94.32356025789808,93.29203175358249,92.1549346661367,91.1312812375788,90.21218540269574,89.02427279262425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,656.9315,652.618,650.5185,,-,15-24 years old,671.528,873.297,819.301,765.896,650.8385,659.662,,823.9515,,631.6415,651.057,653.1815,,,,,729.2605,656.1235,658.278,658.9065,658.862,659.482,660.2525,660.561,657.4495,651.55,,,,,,,,,,,,,,,,,644.535,637.0505,628.76,620.181,613.583,608.6285,607.3025,610.3625,615.6075,100,99.58607589947579,98.93218041966946,98.61391136673024,98.69554408166607,99.0176029542402,99.46358892887571,99.79019558501172,99.8854716506332,99.87872577168307,99.97271329862868,100.08951553977643,100.13628191407113,99.66460096231098,98.77027932486637,97.70685593531232,96.57225973301479,95.31547974568794,94.01496523977431,93.01475604173045,92.2636895864852,92.0626775530499,92.52655147636213,93.32165563576497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,19061.443,19132.1285,19195.736,,0-24 years old,,18111.6305,20971.785,21107.8175,20636.8395,20086.6285,18984.6025,,19555.929,,19417.279,19265.5735,19319.6645,,,,,20447.9,19349.4515,19367.169,19410.7315,19474.28,19512.7375,19520.929,19530.542,19546.286,19549.428,,,,,,,,,,,,,,,,France,19518.395,19506.006,19503.604,19481.2035,19452.3345,19409.0315,19399.868,19383.0945,19279.31,100,100.40475169285213,100.77708237504577,101.11213021183877,101.47999411628447,101.76491448793831,101.92181532376038,102.01514095436026,102.24460322516629,102.5793402837905,102.78191234185702,102.8250604667651,102.87569623857019,102.9586266027956,102.97517685713989,102.81171280778725,102.74645465976968,102.73380230110163,102.61580931178304,102.46374397357016,102.23564859996411,102.18738053641101,102.09902735651167,101.55235012163146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,11305.5875,11334.682,11351.2935,,-,0-14 years old,12305.3075,12618.461,12626.548,12070.776,11476.6615,11257.9755,,12489.14,,11361.174,11369.6745,11402.323,,,,,11797.8145,11453.1945,11513.2885,11588.4265,11679.5045,11751.953,11818.309,11873.0455,11875.807,11868.5285,,,,,,,,,,,,,,,,,11843.9605,11769.762,11706.262,11650.15,11574.1325,11493.3255,11396.244,11287.981,11151.609,100,100.42291795714068,100.68135252204094,100.82890569445632,100.99217661292653,101.28217990881221,101.73405067367574,102.26784114070952,102.93526131763211,103.74427000662774,104.38780045310988,104.9772137095164,105.46341569139139,105.48794496843594,105.42329302457622,105.20506551111252,104.54599052911422,103.9819459546701,103.48352596787937,102.80829355153598,102.09051796213271,101.22818263372486,100.26652660596037,99.05518980743918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,7755.8555,7797.4465,7844.4425,,-,15-24 years old,5806.323,8353.324,8481.2695,8566.0635,8609.967,7726.627,,7066.789,,8056.105,7895.899,7917.3415,,,,,8650.0855,7896.257,7853.8805,7822.305,7794.7755,7760.7845,7702.62,7657.4965,7670.479,7680.8995,,,,,,,,,,,,,,,,,7674.4345,7736.244,7797.342,7831.0535,7878.202,7915.706,8003.624,8095.1135,8127.701,100,100.37828278756047,100.91656423947992,101.52479859581678,102.19076189390273,102.46827626077976,102.19539522226191,101.64694762669401,101.23828935963908,100.88199546839778,100.44207517717626,99.6892952125164,99.10529523425939,99.27331809857006,99.4081828979191,99.32451120003593,100.12446569505684,100.91521177352033,101.35151470363456,101.9617227543144,102.44710919784272,103.58496663550602,104.76904734756836,105.19080317970571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,21979.6065,21953.407,21877.8055,,0-24 years old,,26999.489,28233.503,28278.851,27069.069,23783.137,21965.778,,27322.8955,,22628.4055,21739.621,21584.4815,,,,,25318.6,21186.927,20719.8155,20466.613,20375.4325,20313.984,20133.678,19808.5245,19508.5305,19440.1035,,,,,,,,,,,,,,,,Germany,19596.7115,19839.423,19959.681,20019.702,20061.1405,20060.225,19993.2995,19941.5405,19900.333,100,100.06295474715262,99.94368057439168,99.5995020071677,98.97041206553212,98.26413387224437,96.45425261058361,94.32771058689568,93.17499703402267,92.75989450498862,92.48014798292145,91.6592983867906,90.17902530017375,88.81329174864648,88.5017753525507,89.21473894528117,90.31969184064411,90.86717074168737,91.14041851829697,91.3290687905523,91.32490094364061,91.02022018068288,90.78458545834344,90.5969868219555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,12683.44,12525.732,12327.7145,,-,0-14 years old,15497.3405,18111.531,16904.299,14456.5105,12822.457,12804.214,,17318.4385,,13328.9365,12111.9685,11891.186,,,,,12466.5965,11610.578,11369.8595,11228.198,11134.4185,11070.532,10979.6975,10835.3575,10723.8715,10724.6655,,,,,,,,,,,,,,,,,10842.5355,11029.02,11183.322,11306.9505,11416.355,11508.754,11598.5165,11698.5225,11765.3685,100,99.0567636560901,97.82507540095784,96.27857281985447,94.59361191557718,92.86931630477278,90.6777877970487,88.79779344518923,87.69142721294723,86.95901599270364,86.46006697482562,85.75065599497165,84.62337086837192,83.75267314338856,83.75887422687562,84.67943053747774,86.13586120944245,87.34094884699678,88.30647863273764,89.16091999087176,89.88254960437244,90.583588340526,91.36462808259841,91.88669058483403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,9296.1665,9427.675,9550.091,,-,15-24 years old,11502.1485,10121.972,11374.552,12612.5585,10960.68,9161.564,,10004.457,,9299.469,9627.6525,9693.2955,,,,,12852.0035,9576.349,9349.956,9238.415,9241.014,9243.452,9153.9805,8973.167,8784.659,8715.438,,,,,,,,,,,,,,,,,8754.176,8810.403,8776.359,8712.7515,8644.7855,8551.471,8394.783,8243.018,8134.9645,100,101.46920875082026,102.90464597529416,104.24083704485392,105.08743376130975,105.80393806123058,104.52744749695574,102.05633012005373,100.83884149038309,100.86721000912071,100.89382118598964,99.91722483191734,97.94361530411182,95.88601902469927,95.13046025765907,95.55329199250258,96.16701908102154,95.79542313954255,95.10113666181887,94.35927642922103,93.34073308880448,91.63045741971565,89.97391711720837,88.79449513205387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,3237.4115,3201.7065,3154.11,,0-24 years old,,3646.6985,3465.035,3503.594,3679.3825,3547.122,3263.722,,3457.7525,,3411.0875,3104.2995,3055.0405,,,,,3704.1215,3005.382,2956.0905,2914.6605,2883.589,2855.9675,2827.1685,2795.86,2758.0765,2713.8455,,,,,,,,,,,,,,,,Greece,2670.167,2646.915,2639.9365,2635.6065,2636.179,2624.43,2565.337,2496.0345,2438.746,100,99.1938498438286,98.09985348016772,96.64150316724279,95.11531619421017,93.60602710647537,92.08449739285392,90.57421250952132,89.30480292132724,88.35277637004621,87.50645735145334,86.62405989235603,85.6647716931773,84.50709037105489,83.15185852226384,81.81355519863517,81.10111706818167,80.88729677343841,80.75462615994866,80.772167482402,80.41217971383591,78.6015781981431,76.47815898535477,74.7228471052375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,1706.4235,1701.182,1683.397,,-,0-14 years old,2235.796,2166.456,2160.3865,2256.627,1990.63,1706.1065,,2156.987,,1822.556,1663.583,1647.0555,,,,,2199.2975,1633.5285,1623.027,1621.076,1625.55,1627.8985,1627.168,1620.8505,1607.867,1589.016,,,,,,,,,,,,,,,,,1567.3425,1555.7135,1550.661,1541.864,1532.292,1516.132,1483.54,1441.946,1391.685,100,100.01858031723107,99.71136034004911,98.66892834650122,97.50757060007685,96.53884443907809,95.74598654890535,95.13046225426139,95.0161083144575,95.27834282326454,95.4159954258424,95.37317863802757,95.00289108563855,94.24188935450395,93.13697591563012,91.86662731781398,91.18501687907525,90.8888747566462,90.37325630023683,89.81221277804168,88.86502689017361,86.95471238167136,84.51676375419704,81.57081635876776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,1530.988,1500.5245,1470.713,,-,15-24 years old,1410.9025,1298.579,1343.2075,1422.7555,1556.492,1557.6155,,1300.7655,,1588.5315,1440.7165,1407.985,,,,,1504.824,1371.8535,1333.0635,1293.5845,1258.039,1228.069,1200.0005,1175.0095,1150.2095,1124.8295,,,,,,,,,,,,,,,,,1102.8245,1091.2015,1089.2755,1093.7425,1103.887,1108.298,1081.797,1054.0885,1047.061,100,98.2904959535906,96.33471803535596,94.42079897124803,92.49500277828514,90.39361768035819,88.07395021428587,85.58360519653277,83.04902589888196,80.76698004096646,78.84288516646116,77.04086791637602,75.43642830981072,73.84425103627949,72.2148373587705,70.80210103199408,70.05589633641934,69.93224579493462,70.21903030625978,70.87031427203952,71.15350354435995,69.45212088605949,67.67321588671915,67.22204549197153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,3138.434,3061.6225,2993.6735,,0-24 years old,,3961.1805,3863.758,3852.009,3777.4765,3577.1645,3220.235,,3905.664,,3486.6335,2931.4335,2878.9115,,,,,3611.6525,2835.861,2798.8565,2767.291,2741.3835,2709.5795,2671.6235,2640.812,2612.9225,2586.435,,,,,,,,,,,,,,,,Hungary,2559.431,2528.5825,2501.2615,2480.266,2460.372,2438.838,2421.2095,2411.2345,2404.486,100,97.45978166189735,95.07450543205698,92.96444203606258,91.03166383819814,89.40066485831004,88.06379037554713,86.91466616566802,85.93444267266209,85.12992064243758,84.14229085765479,82.96361911475405,82.00681006199856,81.1407397286223,80.3182065905128,79.47963425029539,78.5216762130714,77.67325987078583,77.02127329216657,76.40349229171161,75.73478333103019,75.18735433904668,74.87759433705925,74.66802888609061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,1679.122,1646.902,1619.9015,,-,0-14 years old,2527.573,2148.8815,2147.6295,2347.583,2099.382,1715.9895,,2365.9715,,1877.218,1592.907,1566.5695,,,,,2282.5305,1541.547,1519.2265,1500.7045,1484.732,1467.0325,1448.748,1435.5765,1428.34,1426.4995,,,,,,,,,,,,,,,,,1425.815,1423.6575,1422.3945,1421.8345,1421.548,1419.293,1413.9745,1409.1235,1403.1285,100,97.85153114281877,95.97389727617798,94.4004319373749,92.82731625106098,91.29248751230705,89.83429094408794,88.53355454680812,87.45417731285653,86.52337324907874,85.4919275438457,84.42639072092226,83.65881609415442,83.23710605455337,83.12985015351201,83.0899606320435,82.96423142449298,82.89062957553062,82.8579953432116,82.84129943685554,82.70988837635662,82.39995058244821,82.11725654498468,81.76789543292661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,1459.312,1414.7205,1373.772,,-,15-24 years old,1433.6075,1714.8765,1704.3795,1429.8935,1477.7825,1504.2455,,1539.6925,,1609.4155,1338.5265,1312.342,,,,,1329.122,1294.314,1279.63,1266.5865,1256.6515,1242.547,1222.8755,1205.2355,1184.5825,1159.9355,,,,,,,,,,,,,,,,,1133.616,1104.925,1078.867,1058.4315,1038.824,1019.545,1007.235,1002.111,1001.3575,100,97.01288785640375,94.04851136333797,91.32631608337867,88.98324774779115,87.2425411942399,86.04406661013778,85.06789616455559,84.2007837151582,83.5403197150997,82.60267356624966,81.29494155043176,80.12226062833494,78.74927995463507,77.11078411070534,75.36110295826047,73.45376801858473,71.72147099658932,70.3629493988847,69.05947200772746,67.77783280721133,66.95948234513583,66.61884645824102,66.56875490071268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,108.8995,108.963,108.875,,0-24 years old,,86.753,103.975,107.6395,106.809,105.77,108.353,,98.314,,107.2285,108.742,108.9755,,,,,106.4435,109.7415,111.261,113.108,113.616,113.425,113.5235,113.6375,113.9075,114.1665,,,,,,,,,,,,,,,,Iceland,113.9355,113.8285,114.582,115.4465,116.0315,116.5715,117.479,118.882,120.0155,100,100.50436997591208,100.5629747215121,100.48175869611364,100.35901174863642,100.5745110887562,101.28145967347466,102.68382047566749,104.38843409965577,104.85727206445598,104.68099637296615,104.77190294684966,104.87711461611585,105.12630014858841,105.36533367788617,105.1521416112152,105.0533903076057,105.74880252508005,106.54665768368206,107.08655967070592,107.58493073565107,108.42247099757276,109.71731285705057,110.76343063874559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,66.0825,66.2265,65.982,,-,0-14 years old,61.2455,66.7225,65.545,62.7675,63.587,65.498,,66.376,,65.3335,65.6915,65.4945,,,,,63.2555,65.4525,65.7685,66.3295,66.5865,66.5895,66.487,66.428,66.69,66.959,,,,,,,,,,,,,,,,,66.8285,66.7385,67.1745,67.673,68.0735,68.6585,69.4005,69.903,69.9775,100,100.89239366087513,101.11224770221992,100.73895386118659,100.29542886805704,99.99465632538399,99.93053222999175,100.41298970960946,101.26950441234845,101.66188280558184,101.66646309810984,101.50996977006929,101.41989068368498,101.81990289779839,102.23060246114386,102.03135973617515,101.89395096033466,102.559620141073,103.32071208281168,103.93218113530183,104.82533817826499,105.95819719686095,106.72539619530367,106.83914012641607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,42.817,42.7365,42.893,,-,15-24 years old,25.5075,37.2525,42.0945,44.0415,42.183,42.855,,31.938,,41.895,43.0505,43.481,,,,,43.188,44.289,45.4925,46.7785,47.0295,46.8355,47.0365,47.2095,47.2175,47.2075,,,,,,,,,,,,,,,,,47.107,47.09,47.4075,47.7735,47.958,47.913,48.0785,48.979,50.038,100,99.91132889977833,99.72348617430872,100.08867110022169,100.45618947614048,101.46073970365185,103.34616730836544,106.15447439038618,109.15529109788824,109.74098704935247,109.28829774822076,109.7573211993933,110.16100805040251,110.1796756504492,110.15634115039086,109.92182942480457,109.88216077470543,110.62303115155758,111.4770738536927,111.90759537976899,111.80259012950648,112.18877610547196,114.29004783572512,116.76117139190293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,1467.3285,1470.0755,1474.5335,,0-24 years old,,1258.2565,1401.149,1526.111,1632.8815,1549.153,1468.5045,,1329.8,,1502.898,1480.281,1491.022,,,,,1647.1625,1516.582,1553.6255,1578.443,1580.609,1569.064,1558.213,1555.8065,1559.552,1566.752,,,,,,,,,,,,,,,,Ireland,1574.567,1583.376,1598.1435,1615.566,1627.9845,1632.4195,1638.397,1654.794,1665.94,100,99.919918529361,100.10697958365125,100.41055373000218,100.80193829845261,101.53336268291993,103.27390893252286,105.79644120940725,107.486425816196,107.63392281058724,106.84774884925447,106.10883385103689,105.94495965112807,106.200015049324,106.69030976752198,107.22248382623275,107.82234579465026,108.82796069062096,110.01437176392719,110.86002800808579,111.16203593519802,111.56908269603531,112.68566082024265,113.4446642826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,827.599,830.057,836.9195,,-,0-14 years old,873.6895,922.1425,989.3405,1037.5885,951.7565,828.239,,892.434,,873.832,845.9715,856.2365,,,,,1033.4035,870.221,891.849,917.3935,940.6875,961.4295,978.03,988.517,994.3735,998.5135,,,,,,,,,,,,,,,,,1002.475,1005.519,1007.438,1008.5805,1007.055,1001.5665,995.934,994.1935,988.245,100,99.92272761847728,100.21950185876298,101.04806704345002,102.14098828961204,103.38036484637887,105.06882675169848,107.68015029478207,110.76434459135587,113.5768178025908,116.08116739250384,118.08548015729758,119.35166057140512,120.05876323138611,120.55861894936125,121.0369229171773,121.40444968179473,121.63614608826678,121.77408936309446,121.58990339744929,120.92723235684386,120.24717503039581,120.03703037408285,119.31881980925796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,639.7295,640.0185,637.614,,-,15-24 years old,384.567,479.0065,536.7705,595.293,597.3965,640.2655,,437.366,,629.066,634.3095,634.7855,,,,,613.759,646.361,661.7765,661.0495,639.9215,607.6345,580.183,567.2895,565.1785,568.2385,,,,,,,,,,,,,,,,,572.092,577.857,590.7055,606.9855,620.9295,630.853,642.463,660.6005,677.695,100,99.91628472875706,99.96142225373693,99.58587492220026,99.06976090387502,99.14410506266542,100.95202693257718,103.35969999945335,103.24615335356972,99.94627228860529,94.90352049267062,90.61600226780922,88.60222829435601,88.27252132123314,88.75044805631414,89.35230775358035,90.25271547506463,92.25946111417842,94.80215629297534,96.98000282695224,98.52990673400332,100.34321699357531,103.17602619538302,105.84593422572357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,2823.8965,2859.9035,2896.833,,0-24 years old,,939.424,1517.1125,1712.0845,1862.915,2216.728,2781.575,,1205.5125,,2534.5165,2934.7165,2971.431,,,,,2027.16,3009.978,3050.859,3091.836,3135.2875,3186.031,3240.4485,3297.7565,3358.3155,3420.506,,,,,,,,,,,,,,,,Israel,3486.61,3553.528,3618.49,3682.3375,3744.479,3802.939,3860.504,3923.351,3977.734,100,101.52149411754132,102.81597656004242,104.14362366644798,105.50556788869616,106.82548556123778,108.21128317589856,109.68099008655167,111.15414827930219,112.71626686319803,114.54053908307344,116.49689474488376,118.55716635359464,120.73431419249887,122.97011585163082,125.34661118251351,127.7523705095135,130.0878099637795,132.38318218994635,134.61722225717446,136.71890925105382,138.7884202295462,141.04782362510448,143.00293898241105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,1760.0435,1787.6865,1816.243,,-,0-14 years old,666.7615,951.2635,1085.8185,1224.201,1420.998,1729.7465,,806.4525,,1582.6705,1845.643,1874.3545,,,,,1335.1045,1904.127,1936.3005,1970.3865,2008.398,2052.2065,2096.6865,2140.706,2184.575,2228.668,,,,,,,,,,,,,,,,,2274.383,2319.477,2362.117,2400.1065,2434.868,2467.1375,2498.979,2530.9975,2556.0955,100,101.75152833088548,103.34962377435075,105.00053042454486,106.70020144570319,108.36006894651904,110.0812749151393,111.9412873504875,113.91186512012021,116.10938365824124,118.64203800961586,121.21351307836147,123.7583657489696,126.29451772268364,128.84361957084465,131.48649238486678,134.09346398446246,136.55856508453695,138.75481175998908,140.76444149475083,142.63000387629054,144.47082274772632,146.32187433245275,147.7728383899028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,1063.853,1072.217,1080.59,,-,15-24 years old,272.6625,565.849,626.266,638.714,795.73,1051.8285,,399.06,,951.846,1089.0735,1097.0765,,,,,692.0555,1105.851,1114.5585,1121.4495,1126.8895,1133.8245,1143.762,1157.0505,1173.7405,1191.838,,,,,,,,,,,,,,,,,1212.227,1234.051,1256.373,1282.231,1309.611,1335.8015,1361.525,1392.3535,1421.6385,100,101.14319967561252,101.93838634340105,102.73442866398845,103.54097649949587,104.30184198279471,105.13605592546693,105.96390000841392,106.61904483478055,107.13623941545603,107.79556743328402,108.74035073208226,110.00372208967526,111.59048266899023,113.31105783880166,115.24949171846932,117.32435468329673,119.44656376966395,121.90494933347023,124.50803529282577,126.99803247392516,129.44363078201437,132.37457437215286,135.15877350727803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,14653.344,14464.6,14357.6875,,0-24 years old,,19889.8455,20973.975,21219.6895,21143.9395,18342.3415,14887.6835,,20287.6735,,16350.22,14313.9505,14285.535,,,,,20136.696,14253.6725,14277.003,14363.871,14436.0535,14480.7245,14501.0065,14510.759,14471.469,14362.598,,,,,,,,,,,,,,,,Italy,14227.171,14091.8375,13971.5425,13843.6145,13698.607,13542.8845,13398.1305,13275.975,13133.183,100,98.42595055167583,97.1581643309384,96.44003716226236,96.14625740801114,95.95539158257898,95.74137239013713,95.8980824652808,96.48157149498779,96.96641858352241,97.26647198000953,97.40270539738435,97.46821256644796,97.2043031409151,96.47302080273268,95.56336282941534,94.65433289201776,93.8463159832757,92.98702850581154,92.01301868084447,90.96703661116922,89.9947295359953,89.17421571999432,88.21508732369277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_4_Population_age_children_youth_dependency_ratio,ChildPopulation,,,8160.9945,8178.5485,8210.4615,,-,0-14 years old,12384.573,13179.7055,13405.2515,12559.138,9390.1585,8175.44,,12590.4725,,8376.377,8234.134,8261.591,,,,,10984.116,8275.3245,8301.7405,8354.4505,8409.611,8444.679,8455.6415,8457.16,8441.6495,8388.37,,,,,,,,,,,,,,,,,8302.9775,8197.724,8087.553,7967.1745,7831.285,7684.397,7534.666,7386.6775,7225.8725,100,99.82330614621354,100.03802241836526,100.42837449727475,100.71793077803764,101.05377814527414,101.2217629876802,101.54487709530007,102.18961303611795,102.8643228988287,103.29326617282986,103.42735681504604,103.44593073889601,103.25621006331158,102.60450813656514,101.56000777939782,100.2725724853953,98.9249875236073,97.45254689655847,95.79037947804643,93.99368107404618,92.16220778331198,90.35204833012045,88.3851205562025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
